Date,Strategy_Value,Benchmark_Value
2023-12-08,1.6289,0.9973742594962979
2023-12-11,1.6497,1.0095038806602636
2023-12-12,1.6585,1.0097440636347013
2023-12-13,1.6489,0.9991018172635686
2023-12-14,1.6474,0.9958027299588713
2023-12-15,1.6384,0.9886298395780907
2023-12-18,1.6157,0.9769261440981746
2023-12-19,1.6245,0.9759471445074289
2023-12-20,1.6041,0.9631421629238758
2023-12-21,1.6124,0.968489227321938
2023-12-22,1.5899,0.9635782111230115
2023-12-25,1.5801,0.9642465873700037
2023-12-26,1.5502,0.9538899664469463
2023-12-27,1.5583,0.9588325837592772
2023-12-28,1.5962,0.9764774155441196
2023-12-29,1.6234,0.9849005453822465
2024-01-02,1.6229,0.9813135106188449
2024-01-03,1.6145,0.9798512969880621
2024-01-04,1.6056,0.9714932560103794
2024-01-05,1.5744,0.9581688152521268
2024-01-08,1.5377,0.9374573149139841
2024-01-09,1.5431,0.9398071352484116
2024-01-10,1.5256,0.935711942971419
2024-01-11,1.5555,0.947645789614227
2024-01-12,1.5435,0.9444375509753896
2024-01-15,1.5367,0.9421005924029618
2024-01-16,1.5277,0.9415748565432809
2024-01-17,1.4895,0.9181991029782689
2024-01-18,1.4766,0.919182039102659
2024-01-19,1.4542,0.9103793149488143
2024-01-22,1.3612,0.8673026798905172
2024-01-23,1.3677,0.8826802315625101
2024-01-24,1.3886,0.8950082757910074
2024-01-25,1.4422,0.9203103911426904
2024-01-26,1.4382,0.9119503002649996
2024-01-29,1.3915,0.8939584367353691
2024-01-30,1.3462,0.8734734231370943
2024-01-31,1.2712,0.8520653558916665
2024-02-01,1.2486,0.848754894363029
2024-02-02,1.1919,0.8278007983362794
2024-02-05,1.0826,0.8091233793091438
2024-02-06,1.1288,0.8718245234798814
2024-02-07,1.1463,0.926911903642364
2024-02-08,1.2276,0.9342879699531824
2024-02-19,1.2611,0.9327233157441027
2024-02-20,1.2681,0.9326060904887543
2024-02-21,1.2812,0.9322577344722796
2024-02-22,1.3216,0.9390252888726348
2024-02-23,1.3803,0.94290166792926
2024-02-26,1.4072,0.9424939917974975
2024-02-27,1.4683,0.9628732813493204
2024-02-28,1.3309,0.9404228490199663
2024-02-29,1.3996,0.9699460894438495
2024-03-01,1.4378,0.9757974292439824
2024-03-04,1.4455,0.9775701029521462
2024-03-05,1.4156,0.9708592745458292
2024-03-06,1.4294,0.9705463110507389
2024-03-07,1.4065,0.9573393676584554
2024-03-08,1.431,0.9704544102238128
2024-03-11,1.4562,0.9870451217459197
2024-03-12,1.4761,0.9839009016657525
2024-03-13,1.4919,0.9823397667540325
2024-03-14,1.4736,0.9783150874091876
2024-03-15,1.4963,0.9894207563078871
2024-03-18,1.5342,1.002899429365888
2024-03-19,1.5401,0.9937887666930796
2024-03-20,1.5617,0.9965441951185531
2024-03-21,1.5617,0.9915400082431377
2024-03-22,1.5444,0.9767983246693311
2024-03-25,1.489,0.9605044676935759
2024-03-26,1.4861,0.9586309860708389
2024-03-27,1.4147,0.9354589889385219
2024-03-28,1.4694,0.9476353949885205
2024-03-29,1.4857,0.9589470697677118
2024-04-01,1.5245,0.9798204396436875
2024-04-02,1.5116,0.9761930599456068
2024-04-03,1.4807,0.9749896597964177
2024-04-08,1.4335,0.9612019597769709
2024-04-09,1.4572,0.9692395632878509
2024-04-10,1.4189,0.9570081001889537
2024-04-11,1.42,0.9617857640430849
2024-04-12,1.4057,0.9573248913734402
2024-04-15,1.3521,0.9686634325412375
2024-04-16,1.2518,0.9417846538317529
2024-04-17,1.3431,0.968667858873999
2024-04-18,1.3417,0.9704981474708951
2024-04-19,1.3305,0.9641544507138731
2024-04-22,1.328,0.9555765080733408
2024-04-23,1.3448,0.9448172722760638
2024-04-24,1.3822,0.9547525571142051
2024-04-25,1.381,0.9540806797105613
2024-04-26,1.4106,0.9745407679759904
2024-04-29,1.4578,0.9938370209764634
2024-04-30,1.4401,0.9870615209459871
2024-05-06,1.4608,1.0029278377146773
2024-05-07,1.4765,1.0026522985002715
2024-05-08,1.4465,0.990256970385657
2024-05-09,1.4661,1.008037639792296
2024-05-10,1.4367,1.0041599183232761
2024-05-13,1.3914,0.9986930526893237
2024-05-14,1.4078,0.9978728024346282
2024-05-15,1.3904,0.9880619084315109
2024-05-16,1.4007,0.9840726760301746
2024-05-17,1.4315,0.9962685289191912
2024-05-20,1.4329,1.0020022443683987
2024-05-21,1.4149,0.9939136291865126
2024-05-22,1.4268,0.9920439933938797
2024-05-23,1.4004,0.9727601486377054
2024-05-24,1.381,0.9638982857756532
2024-05-27,1.3968,0.9744044224143686
2024-05-28,1.3867,0.9643833683086185
2024-05-29,1.3929,0.9665925074522029
2024-05-30,1.3992,0.9630285113880108
2024-05-31,1.4219,0.9630067969604881
2024-06-03,1.3971,0.9567534046480848
2024-06-04,1.3677,0.9690674805313921
2024-06-05,1.348,0.9574557765819423
2024-06-06,1.2909,0.9485413782294088
2024-06-07,1.313,0.9449458173332289
2024-06-11,1.3423,0.9464860360085798
2024-06-12,1.3596,0.9492947981156884
2024-06-13,1.3695,0.9423354057278197
2024-06-14,1.3698,0.9456919265141687
2024-06-17,1.3705,0.9446098877017609
2024-06-18,1.3947,0.9489207185752143
2024-06-19,1.3891,0.937660617828978
2024-06-20,1.3702,0.9241902169338431
2024-06-21,1.3632,0.9255986433652901
2024-06-24,1.3006,0.9057491713324568
2024-06-25,1.2911,0.897717300285317
2024-06-26,1.3494,0.9107418751396835
2024-06-27,1.322,0.8939834164903391
2024-06-28,1.3305,0.8966555972066211
2024-07-01,1.324,0.9076087934542519
2024-07-02,1.3212,0.8978701901726706
2024-07-03,1.3048,0.8908764755651919
2024-07-04,1.2655,0.8770122036171121
2024-07-05,1.2795,0.8827748716363498
2024-07-08,1.2362,0.8677819029747859
2024-07-09,1.2736,0.884704008951351
2024-07-10,1.2676,0.8787653579234259
2024-07-11,1.3108,0.8961023237521369
2024-07-12,1.3015,0.892407442479443
2024-07-15,1.2781,0.8859735138406346
2024-07-16,1.287,0.8885976579620294
2024-07-17,1.2663,0.8810178896406398
2024-07-18,1.2564,0.8848477922032688
2024-07-19,1.2784,0.8838249465211928
2024-07-22,1.2947,0.8827228259449857
2024-07-23,1.2611,0.8567492504259439
2024-07-24,1.2359,0.8468195166444624
2024-07-25,1.2443,0.8463454455212769
2024-07-26,1.2686,0.8592123413413675
2024-07-29,1.2716,0.8542176964783806
2024-07-30,1.2794,0.8524830275535586
2024-07-31,1.3313,0.8864300247584384
2024-08-01,1.3373,0.8803635724423778
2024-08-02,1.3101,0.8686888295324922
2024-08-05,1.2647,0.8514972251972983
2024-08-06,1.2922,0.8618244037512082
2024-08-07,1.2972,0.8620357067184475
2024-08-08,1.2866,0.86273849588859
2024-08-09,1.2695,0.8562977282028509
2024-08-12,1.2555,0.855181748125702
2024-08-13,1.265,0.858388426663648
2024-08-14,1.2634,0.8466401050419557
2024-08-15,1.2813,0.8523184913316441
2024-08-16,1.2872,0.847239800568312
2024-08-19,1.2822,0.8495226091272433
2024-08-20,1.2569,0.8348371073262338
2024-08-21,1.2564,0.832136373135498
2024-08-22,1.23,0.8223853253282016
2024-08-23,1.2325,0.823059742430971
2024-08-26,1.2473,0.8243789710009898
2024-08-27,1.2187,0.8154766362193023
2024-08-28,1.2318,0.8163334581414046
2024-08-29,1.2583,0.8268354405579792
2024-08-30,1.2947,0.8415681989034306
2024-09-02,1.2676,0.8248368061904804
2024-09-03,1.2859,0.833834361548665
2024-09-04,1.2799,0.8312224805459046
2024-09-05,1.2974,0.8346705030636027
2024-09-06,1.2681,0.8231263551108905
2024-09-09,1.2612,0.8176355618830345
2024-09-10,1.2806,0.8177300386905022
2024-09-11,1.275,0.819037693488792
2024-09-12,1.274,0.815713608288417
2024-09-13,1.2448,0.8074354227075224
2024-09-18,1.2329,0.8095962350048908
2024-09-19,1.267,0.8200314596158814
2024-09-20,1.2726,0.8160398145003758
2024-09-23,1.2779,0.8153681910666446
2024-09-24,1.3227,0.8507259911357244
2024-09-25,1.3398,0.8583231563961233
2024-09-26,1.3821,0.8958215237323999
2024-09-27,1.4597,0.9436189696658337
2024-09-30,1.6422,1.0418602280214437
2024-10-08,1.8242,1.1166661043047175
2024-10-09,1.6551,1.0404858879804022
2024-10-10,1.6313,1.0323663247506016
2024-10-11,1.5494,0.9924442681167622
2024-10-14,1.6024,1.017358662115526
2024-10-15,1.5788,0.9927611318640812
2024-10-16,1.5791,0.9906799754157125
2024-10-17,1.5848,0.9830428461755034
2024-10-18,1.6528,1.023139525264927
2024-10-21,1.7004,1.0347868031428415
